pol_id,name,nickname,suffix,party
1034,Sean Haugh,,,Oth
1036,Joseph R. Biden,Joe,Jr.,Dem
1048,James Mountain Inhofe,Jim,,Rep
1055,C.A. Ruppersberger,Dutch,,Dem
1057,Benjamin L. Cardin,Ben,,Dem
1061,Steny H. Hoyer,,,Dem
1064,Elijah Emanuel Cummings,,,Dem
1066,Chris Van Hollen,,,Dem
1073,Jeanne Shaheen,,,Dem
1087,David Camp,Dave,,Rep
1092,Tammy Baldwin,,,Dem
1094,Ronald James Kind,Ron,,Dem
1099,Frank James Sensenbrenner,Jim,Jr.,Rep
1101,Thomas Evert Petri,Tom,,Rep
1115,Charles Michael Thompson,Mike,,Dem
1121,Trent Franks,,,Rep
1124,Ed Pastor,,,Dem
1129,Jeff Lane Flake,,,Rep
1131,Raul M. Grijalva,,,Dem
1135,Matthew James Salmon,Matt,,Rep
1139,John B. Larson,,,Dem
1141,Rosa Luisa DeLauro,,,Dem
1157,Pete Diamondstone,,,Oth
1161,Michael Dennis Rogers,Mike,,Rep
1167,Jefferson Beauregard Sessions,Jeff,I,Rep
1169,Michael J. Rogers,Mike,,Rep
1188,Mark Lunsford Pryor,,,Dem
1194,Michael Avery Ross,Mike,,Dem
1206,Michael Honda,Mike,,Dem
1213,Bob Conaway,,,Dem
1215,Edward Randall Royce,Ed,,Rep
1224,Mark Emery Udall,,,Dem
1231,Joseph Courtney,Joe,,Dem
1240,Jefferson B. Miller,Jeff,,Rep
1242,Corrine Brown,,,Dem
1253,Sanford Dixon Bishop,,Jr.,Dem
1257,David Albert Scott,,,Dem
1262,Richard Joseph Durbin,Dick,,Dem
1263,Bobby L. Rush,,,Dem
1267,Luis V. Gutierrez,,,Dem
1275,Janice D. Schakowsky,Jan,,Dem
1277,Mark Steven Kirk,,,Rep
1285,John M. Shimkus,,,Rep
1287,Mark J. Leyva,,,Rep
1313,Rodney Alexander,,,Rep
1326,Candice Sue Miller,,,Rep
1333,Collin Clark Peterson,,,Dem
1335,Bennie G. Thompson,,,Dem
1337,William Lacy Clay,,Jr.,Dem
1342,Samuel B. Graves,Sam,Jr.,Rep
1343,Roy D. Blunt,,,Rep
1352,Christopher H. Smith,Chris,,Rep
1362,Walter B. Jones,,Jr.,Rep
1376,Michael Ray Turner,Mike,,Rep
1379,John Andrew Boehner,,,Rep
1384,Sherrod Campbell Brown,,,Dem
1388,Timothy J. Ryan,Tim,,Dem
1396,Frank D. Lucas,,,Rep
1398,Tom Cole,,,Rep
1408,Lindsey Graham,,,Rep
1410,Addison Graves Wilson,Joe,Sr.,Rep
1414,James Enos Clyburn,Jim,,Dem
1421,Andrew Alexander,Lamar,Jr.,Rep
1441,John Rice Carter,,,Rep
1445,Bernard Sanders,Bernie,,Dem
1451,Robert Cortez Scott,Bobby,,Dem
1453,James P. Moran,Jim,Jr.,Dem
1461,Paul Davis Ryan,,,Rep
1465,Jay Robert Inslee,,,Dem
1468,Rick Larsen,,,Dem
1475,Doc N. Hastings,,,Rep
1482,Jim Adelbert McDermott,,,Dem
1488,Adam Smith,,,Dem
1506,Andrew Mark Cuomo,,,Dem
1507,Timothy H. Bishop,Tim,,Dem
1510,Steve J. Israel,,,Dem
1514,Peter Thomas King,Pete,,Rep
1516,Carolyn McCarthy,,,Dem
1521,Gregory Weldon Meeks,,,Dem
1523,Joseph Crowley,Joe,,Dem
1525,Jerrold L. Nadler,,,Dem
1535,Nydia M. Velazquez,,,Dem
1539,Henry J. Bardel,Hank,,Oth
1541,Carolyn Jane Bosher Maloney,,,Dem
1543,Charles Bernard Rangel,,,Dem
1545,Jose Enrique Serrano,,,Dem
1547,Eliot L. Engel,,,Dem
1551,Nita M. Lowey,,,Dem
1581,Louise McIntosh Slaughter,,,Dem
1587,Neil A. Abercrombie,,,Dem
1594,Mazie Keiko Hirono,,,Dem
1616,Charles Patrick Roberts,Pat,,Rep
1620,John Nichols Boozman,,,Rep
1701,John S. McCain,,I,Rep
1702,Richard Craig Shelby,,,Rep
1704,Dianne Feinstein,,,Dem
1705,Barbara Boxer,,,Dem
1710,Thomas Richard Carper,Tom,,Dem
1711,Clarence William Nelson,Bill,,Dem
1717,Charles Ernest Grassley,Chuck,,Rep
1720,Samuel Dale Brownback,Sam,,Rep
1726,Barbara Ann Mikulski,,,Dem
1727,Susan Margaret Collins,,,Rep
1729,Deborah Ann Stabenow,Debbie,,Dem
1730,Mark Brandt Dayton,,,Dem
1741,Harry Mason Reid,,,Dem
1745,Charles E. Schumer,Chuck,,Dem
1746,Hilary Clinton,,,Dem
1750,Ronald Lee Wyden,Ron,,Dem
1753,Lincoln Davenport Chafee,,,Ind
1758,Orrin Grant Hatch,,,Rep
1760,Patrick Joseph Leahy,,,Dem
1762,Patty Murray,,,Dem
1780,John Henry Hoeven,,I,Rep
1782,Mark R. Warner,,,Dem
1796,Randy Neugebauer,,,Rep
1799,Lisa Murkowski,,,Rep
1805,Maria Cantwell,,,Dem
1835,Mark Assini,,,Rep
1837,John Jenkins Barrow,,,Dem
1860,Michael Conaway,Mike,,Rep
1865,Charles Wieder Dent,Charlie,,Rep
1877,Virginia Ann Foxx,,,Rep
1883,Louie B. Gohmert,,,Rep
1918,Barack H. Obama,,,Dem
1949,Corrogan Vaughn,,,Rep
4434,Sean Parnell,,,Rep
4627,Janice Kay Brewer,Jan,,Rep
4788,Fred DuVal,,,Dem
5397,David Sheridan Schweikert,,,Rep
5418,Kyrsten Sinema,,,Dem
5647,Michael Dale Beebe,Mike,,Dem
5956,William Asa Hutchinson,,,Rep
6068,Jackie McPherson,,,Dem
6622,Edmund Gerald Brown,Jerry,Jr.,Dem
6688,Antonio Cardenas,Tony,,Dem
6818,James Manuel Costa,Jim,,Dem
7136,John Raymond Garamendi,,,Dem
7264,Janice Kay Hahn,,,Dem
7547,Ro Khanna,,,Dem
7915,Chris Mitchum,,,Rep
8584,Mark Allan Takano,,,Dem
8639,Donald Trump,,,Rep
8993,Michael Coffman,,,Rep
9174,Doug Lamborn,,,Rep
9236,Vic Meyers,,,Dem
9291,Edwin George Perlmutter,,,Dem
9302,Jared Polis,,,Dem
9548,Richard Blumenthal,Dick,,Dem
9881,Dannel Patrick Malloy,Dan,Sr.,Dem
10206,John Charles Carney,,Jr.,Dem
10263,Jack A. Markell,,,Dem
10341,David A. Catania,,,Ind
10370,Eleanor Holmes Norton,,,Dem
10376,Carol Schwartz,,,Ind
10546,Katherine Anne Castor,Kathy,,Dem
10601,Charles Joseph Crist,Charlie,Jr.,Dem
10720,Lois Frankel,,,Dem
11357,Debbie Wasserman Schultz,,,Dem
11651,Paul Collins Broun,,,Rep
12594,Mimi Walters,,,Rep
12873,Thomas Edmunds Price,Tom,,Rep
13031,James Austin Scott,,,Rep
13348,Lynn Acton Westmoreland,,,Rep
13472,James R. Aiona,Duke,,Rep
13663,Cam Cavasso,,,Rep
13790,Charles Kong Djou,,,Rep
15344,James E. Risch,Jim,,Rep
15698,Mike Bost,,,Rep
16089,Rodney Davis,,,Rep
16646,Piyush Jindal,Bobby,,Rep
17731,Pat Quinn,,,Dem
18696,William W. Bailey,Bill,,Dem
18782,Daniel Ray Coats,Dan,,Rep
19081,Theodore E. Rokita,Todd,,Rep
19867,Lynn M. Jenkins,,,Rep
20128,Steven Lynn Beshear,Steve,,Dem
22596,Alex X. Mooney,,,Rep
22603,Martin O'Malley,,,Dem
22757,William Keating,Bill,,Dem
23088,Michael D. Bishop,Mike,,Rep
23259,Pam Byrnes,,,Dem
24449,Terri Lynn Land,,,Rep
24973,Gary Peters,,,Dem
25227,Eric Schertzing,,,Dem
25659,Timothy Lee Walberg,Tim,,Rep
26363,Jeffrey Johnson,Jeff,,Rep
26995,Chris Wright,,,Oth
27207,Dewey Phillip Bryant,Phil,,Rep
29019,Vicky Hartzler,,,Rep
29135,Claire Conner McCaskill,,,Dem
29169,Jeremiah Wilson Nixon,Jay,,Dem
29892,Chuck Hassebrook,,,Dem
29894,David Eugene Heineman,Dave,,Rep
30010,Adrian Smith,,,Rep
30423,Dean A Heller,,,Rep
30767,Brian Edward Sandoval,,,Rep
30878,Alice Titus,Dina,,Dem
31050,Bonnie Watson Coleman,,,Dem
31724,Gary K. King,,,Dem
31807,Susana Martinez,,,Rep
31918,Steven Edward Pearce,Steve,,Rep
32250,Robert P. Astorino,Rob,,Rep
32471,Yvette Diane Clarke,,,Dem
32649,Aaron Jon Schock,,,Rep
32916,Howie Hawkins,,,Oth
32940,Brian M. Higgins,,,Dem
33006,Hakeem Seku Jeffries,,,Dem
33237,Patricia M. Maher,,,Dem
33619,Domenic M. Recchia,,Jr.,Dem
34352,George Kenneth Butterfield,G.K.,Jr.,Dem
35254,Patrick Lloyd McCrory,Pat,,Rep
35265,Patrick Timothy McHenry,,,Rep
35605,David Rouzer,,,Rep
36028,Paul M. Wright,,,Rep
36092,John S. Dalrymple,,I,Rep
36149,Mary Kathryn Heitkamp,Heidi,,Dem
36354,John Adams,,,Rep
36555,Edward FitzGerald,Ed,,Dem
36679,John R. Kasich,,,Rep
37280,Alexander Green,Al,,Dem
37351,Tom Allen Coburn,,,Rep
37501,Mary Copeland Fallin,,,Rep
38739,James L. Buchal,,,Rep
38751,Michael McCaul,,,Rep
39046,Ted Poe,,,Rep
39053,John Albert Kitzhaber,,,Dem
39527,Robert Patrick Casey,Bob,Jr.,Dem
39562,Al McAffrey,,,Dem
39744,Allyson Young Schwartz,,,Dem
39864,David Nicola Cicilline,,,Dem
